10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Specialization_CE,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other,CollegeState_Andhra Pradesh,CollegeState_Assam,CollegeState_Bihar,CollegeState_Chhattisgarh,CollegeState_Delhi,CollegeState_Goa,CollegeState_Gujarat,CollegeState_Haryana,CollegeState_Himachal Pradesh,CollegeState_Jammu and Kashmir,CollegeState_Jharkhand,CollegeState_Karnataka,CollegeState_Kerala,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Meghalaya,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Sikkim,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Union Territory,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,GraduationYear_0,GraduationYear_2007,GraduationYear_2009,GraduationYear_2010,GraduationYear_2011,GraduationYear_2012,GraduationYear_2013,GraduationYear_2014,GraduationYear_2015,GraduationYear_2016,GraduationYear_2017,Gender_f,Gender_m,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,CollegeTier_1,CollegeTier_2
77.2,86.1,71.0,560,485,450,0.622642915849938,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
87.0,84.4,79.3,570,475,295,0.413838255788123,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
73.0,68.4,74.3,560,530,605,0.911395278391328,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
71.0,68.0,70.86,430,510,405,0.356536487724475,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
85.0,61.0,64.98,570,475,430,0.0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
91.5,93.8,74.1,380,535,530,0.525922584252055,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
77.0,85.4,63.9,475,605,415,0.649389714846691,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
52.33,67.0,77.15,450,525,545,0.735795709224656,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
88.0,89.66,76.4,510,640,635,0.124502074009537,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
66.6,68.6,60.22,425,595,475,0.130441735719574,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
75.0,60.0,66.0,380,545,460,0.356536487724475,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
91.4,73.0,71.0,555,560,825,0.23780283983757,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
59.0,87.7,71.04,300,340,355,0.112139438207403,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
84.5,82.5,92.1,425,525,515,0.377551419424541,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
95.8,87.16,79.0,430,395,500,0.0669607065028304,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
85.6,82.0,74.01,370,495,455,0.0800552813405495,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
69.6,71.4,77.0,485,415,575,0.925645767094482,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
86.6,75.0,74.0,505,545,565,0.356536487724475,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
81.92,61.46,57.54,565,465,415,0.843123726665742,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
66.5,49.5,89.7,505,505,485,0.916869961103619,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
80.0,72.5,57.8,580,485,455,0.783303536670298,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
85.2,81.5,57.64,545,385,485,0.600057182338341,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
89.25,78.0,80.0,570,510,545,0.79293627759454,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
58.4,64.8,80.0,440,415,554,0.793580614548506,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
90.8,90.1,67.7,525,530,595,0.486747008438193,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
78.0,70.1,68.2,415,595,495,0.694479327708463,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
89.88,95.4,80.8,555,475,635,0.694479327708463,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
63.3,61.1,66.9,420,510,665,0.112139438207403,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
72.0,49.0,55.0,640,460,250,0.525922584252055,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
83.0,79.0,70.0,430,410,310,0.165633091512476,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
85.3,88.3,85.0,370,375,325,0.356536487724475,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
81.0,77.8,65.35,535,510,390,0.207392169717661,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
60.66,62.4,69.3,370,410,470,0.755375120895548,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
78.0,83.0,72.13,444,555,695,0.999904558268382,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
89.37,79.0,70.0,630,580,510,0.338786347219528,0,292,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
90.0,94.4,76.12,505,525,595,0.124502074009537,615,233,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
81.0,79.0,71.5,510,500,575,0.493596387301038,455,324,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
78.0,86.67,77.55,535,465,535,0.910770164246022,445,433,0,0,0,0,0,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
84.4,73.2,70.0,570,410,535,0.670743151433127,455,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
89.0,92.0,76.4,625,645,605,0.982057124317279,385,388,0,0,606,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
86.0,64.0,61.17,665,545,415,0.911395278391328,405,0,500,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
85.0,75.0,60.0,675,480,500,0.842248322257836,425,0,469,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
75.0,64.0,67.0,510,480,485,0.0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
